stn,wban,year,mo,da,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,flag_max,min,flag_min,prcp,flag_prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
010360,99999,2017,10,10,30.3,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,10.3,24,15.7,20.6,34.3,,27.1,,0.0,G,999.9,0,0,0,0,0,0
010350,99999,2017,10,14,33.9,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,999.9,36.3,*,30.4,,0.0,I,999.9,0,0,0,0,0,0
010360,99999,2017,04,14,17.4,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,7.8,24,15.5,999.9,23.9,,12.9,,0.0,G,28.0,0,0,0,0,0,0
010300,99999,2017,02,16,27.2,18,9999.9,0,9999.9,0,9999.9,0,999.9,0,18.9,18,31.7,48.2,27.7,,26.4,,0.0,I,999.9,0,0,0,0,0,0
010300,99999,2017,09,04,47.8,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,11.1,24,17.5,22.7,53.1,,39.9,,0.0,I,999.9,0,0,0,0,0,0
010300,99999,2017,11,13,24.9,14,9999.9,0,9999.9,0,9999.9,0,999.9,0,9.1,14,14.4,18.6,26.4,,22.3,,0.0,I,999.9,0,0,0,0,0,0
010360,99999,2017,03,25,29.2,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,12.5,24,22.9,35.0,32.7,,23.4,,0.0,I,999.9,0,0,0,0,0,0
010300,99999,2017,08,19,51.6,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,8.6,24,17.5,25.6,56.8,,47.3,*,0.0,I,999.9,0,0,0,0,0,0
010360,99999,2017,11,01,25.0,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,10.7,24,16.7,20.6,32.2,*,19.9,,0.02,G,999.9,0,0,0,0,0,0
010350,99999,2017,08,13,46.2,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,999.9,49.1,,42.3,,0.0,I,999.9,0,0,0,0,0,0
010360,99999,2017,06,04,29.8,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,6.3,24,9.7,999.9,32.2,,27.1,,0.0,G,28.0,0,0,0,0,0,0
